IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.100.206,2096,2096,true,SIN,Asia Pacific,Singapore,102,8.87
152.67.216.88,443,443,true,SIN,Asia Pacific,Singapore,199,8.26
47.237.84.173,2053,2053,true,SIN,Asia Pacific,Singapore,122,7.44
47.237.92.26,2083,2083,true,SIN,Asia Pacific,Singapore,120,7.26
47.236.202.91,2052,2052,false,SIN,Asia Pacific,Singapore,95,7.24
8.219.87.30,2053,2053,true,SIN,Asia Pacific,Singapore,121,7.23
47.236.10.182,2087,2087,true,SIN,Asia Pacific,Singapore,124,7.04
47.237.83.20,2095,2095,false,SIN,Asia Pacific,Singapore,78,6.65
47.237.82.15,8080,8080,false,SIN,Asia Pacific,Singapore,122,6.58
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,84,6.50
47.236.253.41,2053,2053,true,SIN,Asia Pacific,Singapore,92,6.46
47.236.83.239,8880,8880,false,SIN,Asia Pacific,Singapore,120,6.36
47.236.144.208,2095,2095,false,SIN,Asia Pacific,Singapore,129,6.27
47.236.9.152,2096,2096,true,SIN,Asia Pacific,Singapore,92,6.18
47.237.8.82,8080,8080,false,SIN,Asia Pacific,Singapore,119,6.16
8.219.77.222,2052,2052,false,SIN,Asia Pacific,Singapore,90,6.13
8.219.4.122,2083,2083,true,SIN,Asia Pacific,Singapore,76,6.01
47.236.202.91,8443,8443,true,SIN,Asia Pacific,Singapore,75,5.96
47.236.145.85,2053,2053,true,SIN,Asia Pacific,Singapore,86,5.91
52.74.170.123,443,443,true,SIN,Asia Pacific,Singapore,142,5.83
47.237.95.156,2053,2053,true,SIN,Asia Pacific,Singapore,125,5.80
47.237.95.146,2095,2095,false,SIN,Asia Pacific,Singapore,121,5.78
47.237.83.20,2083,2083,true,SIN,Asia Pacific,Singapore,80,5.68
8.219.87.30,2082,2082,false,SIN,Asia Pacific,Singapore,83,5.65
47.237.83.20,2053,2053,true,SIN,Asia Pacific,Singapore,81,5.58
47.236.174.206,2083,2083,true,SIN,Asia Pacific,Singapore,126,5.46
47.236.144.156,2086,2086,false,SIN,Asia Pacific,Singapore,143,5.46
47.237.83.20,2086,2086,false,SIN,Asia Pacific,Singapore,94,5.39
47.236.254.120,2095,2095,false,SIN,Asia Pacific,Singapore,93,5.38
8.219.198.139,2083,2083,true,SIN,Asia Pacific,Singapore,122,5.36
8.219.177.205,8443,8443,true,SIN,Asia Pacific,Singapore,93,5.29
47.236.167.231,80,80,false,SIN,Asia Pacific,Singapore,93,5.28
47.237.0.31,2086,2086,false,SIN,Asia Pacific,Singapore,87,5.25
47.236.144.48,8080,8080,false,SIN,Asia Pacific,Singapore,120,5.24
47.236.169.15,2095,2095,false,SIN,Asia Pacific,Singapore,117,5.17
47.236.9.152,8080,8080,false,SIN,Asia Pacific,Singapore,123,5.14
47.236.168.17,2052,2052,false,SIN,Asia Pacific,Singapore,90,5.12
8.219.142.191,80,80,false,SIN,Asia Pacific,Singapore,92,5.07
47.237.86.185,2087,2087,true,SIN,Asia Pacific,Singapore,88,5.03
8.219.107.135,2087,2087,true,SIN,Asia Pacific,Singapore,84,5.00
